id,date,unit_measurement,quantity,price_per_unit,total_income,id_crop
190,2020-12-22,300,21,1400,29400,
191,2020-08-12,200,48,1200,57600,
192,2020-11-30,300,49,1400,68600,
193,2020-10-03,300,31,1400,43400,
194,2021-03-06,300,58,1400,81200,
195,2020-08-20,200,58,1200,69600,
196,2021-01-03,300,26,1400,36400,
197,2021-01-14,200,39,1200,46800,
198,2021-04-04,200,34,1200,40800,
199,2020-09-20,200,59,1200,70800,
200,2021-03-22,200,26,1200,31200,
201,2020-10-25,200,58,1200,69600,
202,2020-09-18,300,49,1400,68600,
203,2020-09-16,300,23,1400,32200,
204,2020-11-15,300,24,1400,33600,
205,2021-02-19,200,54,1200,64800,
206,2020-08-31,300,32,1400,44800,
207,2020-07-27,200,53,1200,63600,
208,2020-10-04,200,52,1200,62400,
209,2020-07-20,200,50,1200,60000,
210,2020-12-24,300,27,1400,37800,
211,2020-07-01,300,45,1400,63000,
212,2020-07-09,200,51,1200,61200,
213,2020-10-04,200,22,1200,26400,
214,2020-12-28,200,24,1200,28800,
215,2020-11-22,300,30,1400,42000,
216,2021-02-14,300,46,1400,64400,
217,2020-10-08,300,38,1400,53200,
218,2021-02-21,200,50,1200,60000,
219,2020-09-25,300,22,1400,30800,
220,2021-03-04,200,52,1200,62400,
221,2021-01-16,300,35,1400,49000,
222,2020-10-08,300,49,1400,68600,
223,2020-06-29,200,42,1200,50400,
224,2021-04-12,300,54,1400,75600,
225,2020-09-03,300,24,1400,33600,
226,2020-11-22,300,36,1400,50400,
227,2021-03-03,300,56,1400,78400,
228,2021-03-27,300,41,1400,57400,
229,2020-07-27,200,42,1200,50400,
230,2020-10-14,200,55,1200,66000,
231,2020-11-26,200,26,1200,31200,
232,2020-09-05,300,41,1400,57400,
233,2020-11-08,300,30,1400,42000,
234,2021-02-28,300,41,1400,57400,
235,2020-08-01,200,50,1200,60000,
236,2020-09-26,200,42,1200,50400,
237,2021-02-26,300,38,1400,53200,
238,2021-01-08,300,28,1400,39200,
239,2020-08-02,200,35,1200,42000,
240,2020-09-15,200,52,1200,62400,
241,2020-06-27,200,57,1200,68400,
242,2021-01-03,300,52,1400,72800,
243,2020-09-28,300,48,1400,67200,
244,2020-07-05,300,45,1400,63000,
245,2020-12-28,200,28,1200,33600,
246,2020-09-04,200,28,1200,33600,
247,2021-02-19,200,42,1200,50400,
248,2020-07-23,300,52,1400,72800,
249,2020-12-29,300,59,1400,82600,
250,2020-11-30,200,20,1200,24000,
251,2021-03-17,300,33,1400,46200,
252,2020-11-29,300,50,1400,70000,
253,2021-04-14,300,20,1400,28000,
254,2020-08-23,200,35,1200,42000,
255,2020-12-16,300,33,1400,46200,
256,2020-07-27,300,34,1400,47600,
257,2020-11-16,300,46,1400,64400,
258,2020-12-30,200,55,1200,66000,
259,2020-07-06,200,24,1200,28800,
260,2021-02-20,300,48,1400,67200,
261,2020-07-24,200,52,1200,62400,
262,2020-10-05,200,54,1200,64800,
263,2020-12-01,300,50,1400,70000,
264,2020-07-05,200,36,1200,43200,
265,2021-01-05,300,25,1400,35000,
266,2020-08-19,200,57,1200,68400,
267,2020-09-01,200,37,1200,44400,
268,2020-08-06,300,25,1400,35000,
269,2020-06-30,300,39,1400,54600,
270,2020-08-30,200,60,1200,72000,
271,2020-10-21,300,20,1400,28000,
272,2020-12-20,300,20,1400,28000,
273,2020-11-23,300,52,1400,72800,
274,2021-01-30,300,42,1400,58800,
275,2020-09-09,200,23,1200,27600,
276,2020-09-21,300,60,1400,84000,
277,2020-09-23,200,36,1200,43200,
278,2020-08-03,300,23,1400,32200,
279,2021-02-26,300,42,1400,58800,
280,2021-03-21,300,48,1400,67200,
281,2020-07-15,200,23,1200,27600,
282,2021-04-14,300,36,1400,50400,
283,2021-03-13,200,58,1200,69600,
284,2020-09-25,300,31,1400,43400,
285,2020-12-27,200,24,1200,28800,
286,2020-12-17,300,41,1400,57400,
287,2021-03-05,200,39,1200,46800,
288,2021-04-13,300,35,1400,49000,
289,2020-08-30,200,35,1200,42000,
290,2021-04-09,200,59,1200,70800,
291,2020-09-05,200,45,1200,54000,
292,2020-06-26,300,26,1400,36400,
293,2021-01-30,300,45,1400,63000,
294,2021-03-25,300,46,1400,64400,
295,2021-03-15,300,29,1400,40600,
296,2020-08-19,200,48,1200,57600,
297,2020-11-19,200,36,1200,43200,
298,2020-08-31,200,60,1200,72000,
299,2021-03-10,200,20,1200,24000,
300,2021-04-13,300,46,1400,64400,
301,2021-03-06,300,60,1400,84000,
302,2020-12-05,200,20,1200,24000,
303,2021-04-04,300,54,1400,75600,
304,2020-09-26,200,30,1200,36000,
305,2021-03-20,200,29,1200,34800,
306,2020-08-03,300,45,1400,63000,
307,2020-07-06,200,44,1200,52800,
308,2020-08-14,200,29,1200,34800,
309,2021-03-22,200,42,1200,50400,
310,2020-10-18,300,34,1400,47600,
311,2020-12-13,300,56,1400,78400,
312,2020-08-19,200,44,1200,52800,
313,2021-01-24,300,58,1400,81200,
314,2020-11-14,200,37,1200,44400,
315,2020-11-26,300,32,1400,44800,
316,2020-06-27,300,26,1400,36400,
317,2020-10-26,200,48,1200,57600,
318,2020-09-11,200,21,1200,25200,
319,2020-09-19,300,41,1400,57400,
320,2021-02-14,200,22,1200,26400,
321,2020-07-20,300,40,1400,56000,
322,2021-01-29,200,28,1200,33600,
323,2020-08-08,200,41,1200,49200,
324,2020-07-24,200,54,1200,64800,
325,2020-08-04,300,28,1400,39200,
326,2020-10-27,200,52,1200,62400,
327,2020-06-26,200,54,1200,64800,
328,2020-07-06,300,39,1400,54600,
329,2020-09-17,300,58,1400,81200,
330,2020-11-02,200,38,1200,45600,
331,2021-02-10,300,21,1400,29400,
332,2020-11-24,300,46,1400,64400,
333,2020-10-14,300,27,1400,37800,
334,2021-03-18,300,33,1400,46200,
335,2021-03-16,300,44,1400,61600,
336,2020-10-02,300,35,1400,49000,
337,2020-07-10,300,53,1400,74200,
338,2021-03-16,200,31,1200,37200,
339,2021-02-28,300,42,1400,58800,
340,2021-03-10,200,54,1200,64800,
341,2021-04-01,300,42,1400,58800,
342,2020-11-13,300,48,1400,67200,
343,2021-04-07,200,48,1200,57600,
344,2021-04-10,200,30,1200,36000,
345,2020-06-24,300,23,1400,32200,
346,2021-02-19,200,55,1200,66000,
347,2021-01-20,200,26,1200,31200,
348,2020-12-28,200,28,1200,33600,
349,2020-09-28,300,34,1400,47600,
350,2020-11-10,300,26,1400,36400,
351,2021-03-17,200,41,1200,49200,
352,2020-12-11,300,33,1400,46200,
353,2020-07-07,200,51,1200,61200,
354,2021-01-29,300,20,1400,28000,
355,2020-11-05,300,57,1400,79800,
356,2020-11-03,300,46,1400,64400,
357,2021-03-26,200,48,1200,57600,
358,2020-10-12,200,34,1200,40800,
359,2021-03-19,300,38,1400,53200,
360,2020-11-15,200,45,1200,54000,
361,2020-10-19,300,35,1400,49000,
362,2020-10-10,300,47,1400,65800,
363,2020-11-15,200,28,1200,33600,
364,2021-03-04,200,51,1200,61200,
365,2021-03-11,300,60,1400,84000,
366,2020-08-04,300,23,1400,32200,
367,2020-11-19,300,45,1400,63000,
368,2020-11-07,200,37,1200,44400,
369,2021-03-31,200,37,1200,44400,
370,2020-12-13,200,35,1200,42000,
371,2021-02-22,200,42,1200,50400,
372,2020-11-30,200,27,1200,32400,
373,2020-09-21,300,46,1400,64400,
374,2020-12-03,200,41,1200,49200,
375,2021-01-16,300,45,1400,63000,
376,2021-04-12,300,35,1400,49000,
377,2020-07-28,300,40,1400,56000,
378,2020-07-11,200,54,1200,64800,
379,2021-02-26,300,38,1400,53200,
380,2020-07-15,300,25,1400,35000,
381,2020-12-25,200,56,1200,67200,
382,2021-02-26,200,36,1200,43200,
383,2021-03-21,300,39,1400,54600,
384,2020-07-26,300,56,1400,78400,
385,2020-09-11,200,50,1200,60000,
386,2021-02-20,200,45,1200,54000,
387,2020-08-12,200,54,1200,64800,
388,2020-10-02,200,43,1200,51600,
389,2020-10-21,200,59,1200,70800,
390,2020-07-31,300,46,1400,64400,
391,2021-01-22,200,33,1200,39600,
392,2020-12-23,300,43,1400,60200,
393,2020-09-06,200,53,1200,63600,
394,2021-03-03,200,30,1200,36000,
395,2020-11-04,300,20,1400,28000,
396,2020-08-19,300,43,1400,60200,
397,2020-11-07,200,39,1200,46800,
398,2020-10-17,200,33,1200,39600,
399,2021-04-08,300,44,1400,61600,
400,2020-06-27,300,32,1400,44800,
401,2020-12-28,300,49,1400,68600,
402,2020-09-28,300,33,1400,46200,
403,2021-02-06,300,21,1400,29400,
404,2021-01-04,200,58,1200,69600,
405,2020-11-30,200,60,1200,72000,
406,2021-01-25,300,49,1400,68600,
407,2020-09-05,300,37,1400,51800,
408,2020-10-22,300,38,1400,53200,
409,2020-10-22,200,52,1200,62400,
410,2020-07-07,200,23,1200,27600,
411,2021-01-01,200,43,1200,51600,
412,2020-08-06,300,56,1400,78400,
413,2020-08-24,200,38,1200,45600,
414,2020-11-13,300,31,1400,43400,
415,2020-07-02,200,34,1200,40800,
416,2021-02-28,200,48,1200,57600,
417,2021-03-19,300,53,1400,74200,
418,2021-02-22,200,47,1200,56400,
419,2021-03-26,300,44,1400,61600,
420,2021-04-09,300,53,1400,74200,
421,2020-09-02,200,54,1200,64800,
422,2020-09-04,300,40,1400,56000,
423,2021-04-03,200,38,1200,45600,
424,2021-02-15,300,47,1400,65800,
425,2020-07-08,300,25,1400,35000,
426,2020-09-10,300,59,1400,82600,
427,2020-10-17,200,46,1200,55200,
428,2020-07-18,200,34,1200,40800,
429,2020-09-22,300,38,1400,53200,
430,2021-03-14,300,54,1400,75600,
431,2020-12-12,200,29,1200,34800,
432,2021-02-08,200,23,1200,27600,
433,2021-03-02,300,43,1400,60200,
434,2021-02-19,200,60,1200,72000,
435,2021-02-13,200,55,1200,66000,
436,2020-10-20,300,29,1400,40600,
437,2020-11-09,300,26,1400,36400,
438,2021-03-07,300,24,1400,33600,
439,2020-07-17,200,58,1200,69600,
440,2020-08-10,300,39,1400,54600,
441,2021-02-16,200,38,1200,45600,
442,2020-09-22,300,21,1400,29400,
443,2020-11-20,300,51,1400,71400,
444,2020-08-23,200,45,1200,54000,
445,2020-07-01,200,26,1200,31200,
446,2020-10-06,200,55,1200,66000,
447,2020-08-23,300,57,1400,79800,
448,2020-12-09,300,57,1400,79800,
449,2021-01-31,200,34,1200,40800,
450,2021-01-11,200,53,1200,63600,
451,2020-07-17,200,40,1200,48000,
452,2021-01-12,300,40,1400,56000,
453,2020-12-11,300,54,1400,75600,
454,2021-01-28,200,37,1200,44400,
455,2020-12-01,300,54,1400,75600,
456,2021-01-18,300,34,1400,47600,
457,2020-07-17,300,24,1400,33600,
458,2021-02-18,300,26,1400,36400,
459,2020-12-09,200,57,1200,68400,
460,2020-10-25,300,33,1400,46200,
461,2021-04-08,200,33,1200,39600,
462,2020-07-12,200,25,1200,30000,
463,2020-07-17,300,35,1400,49000,
464,2020-11-16,300,48,1400,67200,
465,2020-12-02,200,22,1200,26400,
466,2020-12-08,300,47,1400,65800,
467,2020-12-10,200,22,1200,26400,
468,2021-02-21,200,24,1200,28800,
469,2020-12-25,200,47,1200,56400,
470,2020-09-15,200,41,1200,49200,
471,2021-02-08,200,29,1200,34800,
472,2021-01-27,200,25,1200,30000,
473,2020-07-20,200,60,1200,72000,
474,2021-02-07,300,34,1400,47600,
475,2020-12-27,200,32,1200,38400,
476,2021-01-28,300,22,1400,30800,
477,2020-07-04,300,41,1400,57400,
478,2020-08-22,300,43,1400,60200,
479,2021-04-13,200,38,1200,45600,
480,2020-10-04,300,49,1400,68600,
481,2021-02-26,200,35,1200,42000,
482,2021-03-31,300,27,1400,37800,
483,2021-04-19,200,56,1200,67200,
484,2021-01-19,300,29,1400,40600,
485,2020-07-22,300,28,1400,39200,
486,2021-03-20,300,29,1400,40600,
487,2021-03-22,200,28,1200,33600,
488,2021-03-23,200,21,1200,25200,
489,2020-08-20,200,35,1200,42000,
490,2021-01-09,300,30,1400,42000,
491,2020-11-24,300,35,1400,49000,
492,2020-11-23,200,28,1200,33600,
493,2020-10-03,200,38,1200,45600,
494,2020-08-12,200,58,1200,69600,
495,2021-03-17,200,22,1200,26400,
496,2021-01-29,200,47,1200,56400,
497,2020-07-24,300,44,1400,61600,
498,2021-04-11,300,26,1400,36400,
499,2020-09-07,300,32,1400,44800,
500,2021-03-12,300,31,1400,43400,
501,2020-12-02,200,56,1200,67200,
502,2020-07-20,300,56,1400,78400,
503,2020-07-05,300,39,1400,54600,
504,2020-12-09,200,22,1200,26400,
505,2020-10-14,200,37,1200,44400,
506,2020-12-04,300,52,1400,72800,
507,2020-07-29,300,25,1400,35000,
508,2021-04-13,300,36,1400,50400,
509,2020-09-10,300,40,1400,56000,
510,2020-08-15,300,30,1400,42000,
511,2020-09-10,200,23,1200,27600,
512,2020-06-27,300,36,1400,50400,
513,2020-08-06,300,49,1400,68600,
514,2020-08-15,300,25,1400,35000,
515,2020-11-23,300,27,1400,37800,
516,2021-02-26,300,43,1400,60200,
517,2020-08-09,300,49,1400,68600,
518,2021-01-12,300,37,1400,51800,
519,2020-11-06,200,35,1200,42000,
520,2020-08-30,300,21,1400,29400,
521,2020-11-21,200,39,1200,46800,
522,2020-09-12,200,21,1200,25200,
523,2020-10-10,200,41,1200,49200,
524,2021-04-11,300,35,1400,49000,
525,2020-09-02,200,43,1200,51600,
526,2020-08-13,300,56,1400,78400,
527,2020-07-14,200,29,1200,34800,
528,2020-09-17,200,20,1200,24000,
529,2021-02-15,200,32,1200,38400,
530,2021-03-25,200,28,1200,33600,
531,2020-10-05,300,41,1400,57400,
532,2020-12-15,200,27,1200,32400,
533,2020-08-03,300,25,1400,35000,
534,2020-11-11,300,32,1400,44800,
535,2020-10-30,200,26,1200,31200,
536,2020-08-01,200,21,1200,25200,
537,2021-02-23,200,34,1200,40800,
538,2020-10-04,200,38,1200,45600,
539,2020-07-13,200,28,1200,33600,
540,2021-02-15,200,43,1200,51600,
541,2021-03-14,200,36,1200,43200,
542,2020-07-07,300,20,1400,28000,
543,2020-07-07,300,60,1400,84000,
544,2020-08-26,300,54,1400,75600,
545,2020-08-07,200,44,1200,52800,
546,2021-01-26,200,53,1200,63600,
547,2020-09-19,200,23,1200,27600,
548,2020-08-28,200,57,1200,68400,
549,2021-02-18,300,56,1400,78400,
550,2020-11-08,200,29,1200,34800,
551,2021-03-23,200,39,1200,46800,
552,2020-07-25,300,53,1400,74200,
553,2021-04-17,300,26,1400,36400,
554,2021-03-21,200,21,1200,25200,
555,2021-01-26,200,26,1200,31200,
556,2021-04-08,300,41,1400,57400,
557,2020-08-15,200,60,1200,72000,
558,2020-11-10,300,48,1400,67200,
559,2020-09-05,200,52,1200,62400,
560,2020-10-01,200,47,1200,56400,
561,2020-08-02,300,32,1400,44800,
562,2020-10-10,200,32,1200,38400,
563,2020-09-09,300,25,1400,35000,
564,2020-10-09,200,37,1200,44400,
565,2021-02-17,300,54,1400,75600,
566,2020-12-01,300,53,1400,74200,
567,2020-11-12,200,44,1200,52800,
568,2020-09-26,200,38,1200,45600,
569,2020-12-15,200,37,1200,44400,
570,2020-08-17,300,35,1400,49000,
571,2021-03-23,200,45,1200,54000,
572,2020-08-04,300,60,1400,84000,
573,2021-01-18,200,49,1200,58800,
574,2020-07-05,300,27,1400,37800,
575,2021-01-14,200,24,1200,28800,
576,2021-03-20,300,59,1400,82600,
577,2021-03-25,300,28,1400,39200,
578,2020-09-19,300,47,1400,65800,
579,2020-12-23,300,54,1400,75600,
580,2020-07-24,300,27,1400,37800,
581,2020-07-14,300,47,1400,65800,
582,2020-07-22,200,38,1200,45600,
583,2021-03-26,300,54,1400,75600,
584,2020-11-21,200,34,1200,40800,
585,2020-09-14,300,33,1400,46200,
586,2021-02-21,200,26,1200,31200,
587,2020-10-20,200,20,1200,24000,
588,2021-01-01,200,35,1200,42000,
589,2020-10-19,200,41,1200,49200,
590,2020-07-01,300,42,1400,58800,
591,2021-03-07,300,26,1400,36400,
592,2020-11-19,200,46,1200,55200,
593,2021-03-13,300,38,1400,53200,
594,2021-04-14,200,34,1200,40800,
595,2020-07-30,200,39,1200,46800,
596,2020-08-25,300,56,1400,78400,
597,2020-06-26,200,45,1200,54000,
598,2021-04-05,300,37,1400,51800,
599,2021-03-19,300,31,1400,43400,
600,2020-10-01,300,42,1400,58800,
601,2021-04-19,300,40,1400,56000,
602,2020-07-22,300,41,1400,57400,
603,2020-07-31,200,53,1200,63600,
604,2020-12-02,300,43,1400,60200,
605,2020-08-14,300,51,1400,71400,
606,2020-12-25,300,58,1400,81200,
607,2020-07-15,300,53,1400,74200,
608,2021-03-29,300,25,1400,35000,
609,2020-08-27,300,49,1400,68600,
610,2021-02-23,300,59,1400,82600,
611,2020-12-12,300,56,1400,78400,
612,2020-08-20,300,28,1400,39200,
613,2020-12-15,300,46,1400,64400,
614,2020-10-21,300,38,1400,53200,
615,2021-03-17,200,46,1200,55200,
616,2020-07-20,300,22,1400,30800,
617,2021-03-10,200,51,1200,61200,
618,2020-11-06,300,55,1400,77000,
619,2020-12-14,300,53,1400,74200,
620,2021-03-20,200,33,1200,39600,
621,2020-12-05,200,27,1200,32400,
622,2020-11-22,200,46,1200,55200,
623,2020-08-12,300,54,1400,75600,
624,2020-09-28,200,60,1200,72000,
625,2021-01-04,200,21,1200,25200,
626,2020-07-01,300,27,1400,37800,
627,2020-06-29,300,57,1400,79800,
628,2020-12-17,300,52,1400,72800,
629,2021-04-10,200,44,1200,52800,
630,2020-07-07,200,51,1200,61200,
631,2021-04-06,300,24,1400,33600,
632,2021-01-17,300,54,1400,75600,
633,2021-03-20,300,20,1400,28000,
634,2021-02-11,200,47,1200,56400,
635,2020-11-29,200,50,1200,60000,
636,2020-10-10,200,58,1200,69600,
637,2020-07-24,300,39,1400,54600,
638,2020-12-06,300,20,1400,28000,
639,2021-04-17,300,33,1400,46200,
640,2020-11-12,300,53,1400,74200,
641,2021-01-26,300,32,1400,44800,
642,2020-07-06,200,33,1200,39600,
643,2020-11-08,200,35,1200,42000,
644,2020-12-03,200,45,1200,54000,
645,2020-11-01,200,45,1200,54000,
646,2020-09-07,200,20,1200,24000,
647,2021-03-05,300,27,1400,37800,
648,2020-07-09,200,28,1200,33600,
649,2021-02-13,300,32,1400,44800,
650,2020-10-19,200,56,1200,67200,
651,2020-11-10,200,43,1200,51600,
652,2020-11-07,300,32,1400,44800,
653,2021-02-06,200,42,1200,50400,
654,2020-10-29,200,55,1200,66000,
655,2020-12-10,300,38,1400,53200,
656,2020-10-21,200,55,1200,66000,
657,2020-10-05,300,36,1400,50400,
658,2021-04-18,300,51,1400,71400,
659,2020-11-13,300,32,1400,44800,
660,2020-10-31,300,56,1400,78400,
661,2020-07-12,200,22,1200,26400,
662,2020-07-24,300,50,1400,70000,
663,2021-01-22,200,40,1200,48000,
664,2020-12-08,200,45,1200,54000,
665,2020-08-22,300,21,1400,29400,
666,2021-01-22,200,39,1200,46800,
667,2020-11-03,200,57,1200,68400,
668,2021-01-24,300,28,1400,39200,
669,2020-08-10,200,39,1200,46800,
670,2020-08-31,300,33,1400,46200,
671,2021-03-03,200,52,1200,62400,
672,2020-12-18,300,21,1400,29400,
673,2020-12-18,200,39,1200,46800,
674,2020-06-30,300,48,1400,67200,
675,2020-09-07,300,35,1400,49000,
676,2020-10-19,200,30,1200,36000,
677,2021-02-08,200,53,1200,63600,
678,2020-07-05,300,41,1400,57400,
679,2021-03-05,300,34,1400,47600,
680,2021-03-20,300,39,1400,54600,
681,2020-09-02,200,60,1200,72000,
682,2020-10-20,300,32,1400,44800,
683,2020-06-30,200,20,1200,24000,
684,2020-08-04,300,54,1400,75600,
685,2021-03-30,200,45,1200,54000,
686,2021-04-09,200,24,1200,28800,
687,2020-08-05,200,27,1200,32400,
688,2020-12-01,300,38,1400,53200,
689,2020-09-25,200,43,1200,51600,
690,2020-08-27,200,22,1200,26400,
691,2020-07-06,200,57,1200,68400,
692,2021-02-06,300,54,1400,75600,
693,2021-03-24,300,45,1400,63000,
694,2021-04-16,300,43,1400,60200,
695,2020-09-17,200,42,1200,50400,
696,2021-04-12,200,60,1200,72000,
697,2020-07-23,200,46,1200,55200,
698,2020-10-10,200,41,1200,49200,
699,2020-11-05,200,52,1200,62400,
700,2020-12-18,300,34,1400,47600,
701,2021-02-16,200,56,1200,67200,
702,2020-08-28,300,35,1400,49000,
703,2020-12-23,300,38,1400,53200,
704,2020-12-11,200,48,1200,57600,
705,2020-07-11,300,22,1400,30800,
706,2020-07-26,300,34,1400,47600,
707,2020-12-14,300,50,1400,70000,
708,2020-11-29,300,30,1400,42000,
709,2021-02-16,200,55,1200,66000,
710,2020-09-30,300,44,1400,61600,
711,2021-03-29,300,44,1400,61600,
712,2020-12-02,300,33,1400,46200,
713,2020-07-26,200,56,1200,67200,
714,2020-06-26,300,44,1400,61600,
715,2020-12-11,300,47,1400,65800,
716,2020-10-15,200,51,1200,61200,
717,2021-01-11,300,49,1400,68600,
718,2020-06-27,200,50,1200,60000,
719,2021-04-10,300,31,1400,43400,
720,2020-07-09,200,25,1200,30000,
721,2020-07-03,200,47,1200,56400,
722,2020-12-03,300,23,1400,32200,
723,2020-07-19,300,31,1400,43400,
724,2021-03-27,300,38,1400,53200,
725,2020-06-30,200,47,1200,56400,
726,2021-01-22,200,25,1200,30000,
727,2021-02-25,200,30,1200,36000,
728,2020-10-04,300,38,1400,53200,
729,2020-08-31,300,36,1400,50400,
730,2021-04-06,300,48,1400,67200,
731,2020-09-25,300,20,1400,28000,
732,2021-03-28,200,40,1200,48000,
733,2020-09-11,200,33,1200,39600,
734,2020-08-24,300,40,1400,56000,
735,2020-12-30,300,43,1400,60200,
736,2020-06-24,200,52,1200,62400,
737,2020-06-28,300,52,1400,72800,
738,2021-03-26,300,44,1400,61600,
739,2020-11-28,300,58,1400,81200,
740,2020-07-14,200,58,1200,69600,
741,2021-04-04,300,29,1400,40600,
742,2021-03-15,300,42,1400,58800,
743,2021-04-07,200,54,1200,64800,
744,2020-08-22,200,36,1200,43200,
745,2020-09-10,300,50,1400,70000,
746,2020-12-30,200,25,1200,30000,
747,2020-11-06,300,50,1400,70000,
748,2020-09-16,200,35,1200,42000,
749,2020-12-11,200,48,1200,57600,
750,2021-03-22,200,43,1200,51600,
751,2020-07-11,200,44,1200,52800,
752,2020-06-25,300,37,1400,51800,
753,2020-07-08,200,48,1200,57600,
754,2020-12-15,200,25,1200,30000,
755,2021-03-15,300,29,1400,40600,
756,2021-02-07,300,22,1400,30800,
757,2021-01-21,200,28,1200,33600,
758,2020-10-21,300,38,1400,53200,
759,2020-10-04,200,54,1200,64800,
760,2021-04-03,300,53,1400,74200,
761,2021-03-17,300,57,1400,79800,
762,2020-10-27,200,43,1200,51600,
763,2020-07-21,300,47,1400,65800,
764,2020-07-26,200,52,1200,62400,
765,2020-10-26,300,47,1400,65800,
766,2020-08-24,200,28,1200,33600,
767,2020-06-28,200,57,1200,68400,
768,2020-11-07,300,27,1400,37800,
769,2020-09-03,300,35,1400,49000,
770,2020-07-04,300,48,1400,67200,
771,2020-08-30,300,32,1400,44800,
772,2020-10-14,300,39,1400,54600,
773,2021-01-28,200,56,1200,67200,
774,2020-10-20,300,31,1400,43400,
775,2021-03-15,300,29,1400,40600,
776,2021-02-05,300,42,1400,58800,
777,2020-09-05,300,37,1400,51800,
778,2021-01-15,200,49,1200,58800,
779,2021-03-11,200,27,1200,32400,
780,2020-08-03,200,20,1200,24000,
781,2020-10-13,300,28,1400,39200,
782,2020-12-06,200,59,1200,70800,
783,2020-10-10,200,20,1200,24000,
784,2021-03-25,300,56,1400,78400,
785,2020-08-08,200,38,1200,45600,
786,2020-11-02,200,36,1200,43200,
787,2020-10-03,300,55,1400,77000,
788,2021-01-04,300,40,1400,56000,
789,2021-01-24,200,40,1200,48000,
790,2020-11-03,200,48,1200,57600,
791,2020-12-05,200,47,1200,56400,
792,2020-09-13,200,47,1200,56400,
793,2021-04-19,300,57,1400,79800,
794,2020-08-08,300,54,1400,75600,
795,2020-12-09,200,53,1200,63600,
796,2021-01-06,300,42,1400,58800,
797,2020-07-17,200,25,1200,30000,
798,2021-03-08,300,38,1400,53200,
799,2020-12-17,200,27,1200,32400,
800,2021-02-20,300,55,1400,77000,
801,2021-03-10,300,57,1400,79800,
802,2020-12-28,300,24,1400,33600,
803,2020-11-06,200,49,1200,58800,
804,2020-10-12,300,46,1400,64400,
805,2021-03-23,300,25,1400,35000,
