id,date,amount,info
1158,2020-09-16,36900,
1159,2020-08-09,101700,
1160,2020-10-25,40400,
1161,2020-07-16,62000,
1162,2020-10-15,116000,
1163,2020-11-05,11400,
1164,2020-09-01,43200,
1165,2021-03-17,108500,
1166,2021-01-01,66500,
1167,2021-02-07,51200,
1168,2020-06-29,199600,
1169,2020-11-09,66500,
1170,2020-11-26,45500,
1171,2020-10-30,161500,
1172,2020-09-23,63600,
1173,2020-10-25,119000,
1174,2021-02-13,87900,
1175,2020-09-09,164700,
1176,2020-12-28,35200,
1177,2021-01-31,12200,
1178,2020-11-18,113800,
1179,2021-04-15,70400,
1180,2020-10-21,195400,
1181,2020-09-19,18100,
1182,2021-02-08,87200,
1183,2020-07-09,42000,
1184,2020-09-19,115000,
1185,2021-04-12,86100,
1186,2021-03-26,138300,
1187,2021-03-23,139200,
1188,2021-01-13,54900,
1189,2020-11-10,29400,
1190,2020-12-01,57400,
1191,2021-02-13,57500,
1192,2021-03-19,117700,
1193,2020-10-16,47100,
1194,2020-10-17,96500,
1195,2021-03-09,47500,
1196,2021-01-11,108200,
1197,2020-10-09,98200,
1198,2020-09-04,196700,
1199,2020-06-27,80600,
1200,2021-03-23,35000,
1201,2021-04-01,98800,
1202,2021-02-23,196600,
1203,2021-02-17,60900,
1204,2020-07-12,126000,
1205,2021-03-19,148700,
1206,2021-01-10,69300,
1207,2021-04-15,185400,
1208,2020-08-15,34300,
1209,2020-09-23,118700,
1210,2020-06-30,185200,
1211,2020-11-17,56400,
1212,2020-10-05,142000,
1213,2021-01-08,107400,
1214,2020-10-05,70600,
1215,2020-11-11,134000,
1216,2020-09-02,189500,
1217,2021-01-03,45900,
1218,2021-04-19,93600,
1219,2021-01-24,143000,
1220,2020-08-23,94100,
1221,2021-02-14,89300,
1222,2021-01-19,102400,
1223,2020-12-15,84700,
1224,2021-01-27,14900,
1225,2020-09-26,14900,
1226,2021-04-02,88900,
1227,2020-11-05,181300,
1228,2021-02-11,29300,
1229,2021-04-11,76900,
1230,2020-10-23,177500,
1231,2020-10-10,92000,
1232,2020-12-04,165500,
1233,2021-03-19,71700,
1234,2020-08-28,88400,
1235,2021-02-08,52000,
1236,2021-03-10,148900,
1237,2020-09-15,63400,
1238,2021-03-01,114000,
1239,2021-03-08,40400,
1240,2021-02-23,148000,
1241,2021-03-26,80000,
1242,2021-01-24,50400,
1243,2021-03-20,87900,
1244,2020-10-29,146300,
1245,2020-09-05,125300,
1246,2020-07-29,37500,
1247,2020-08-17,144500,
1248,2021-01-13,34100,
1249,2020-09-11,63500,
1250,2021-04-16,150300,
1251,2020-12-01,163600,
1252,2020-08-24,109200,
1253,2020-09-19,171900,
1254,2020-12-26,35900,
1255,2020-11-08,142000,
1256,2020-08-15,29200,
1257,2020-07-15,181700,
1258,2020-07-22,121200,
1259,2020-09-09,94700,
1260,2020-11-19,169100,
1261,2020-11-16,192100,
1262,2020-10-15,45700,
1263,2020-10-21,133600,
1264,2020-08-14,154500,
1265,2020-09-05,141500,
1266,2020-12-22,160300,
1267,2020-12-27,80500,
1268,2020-06-26,151600,
1269,2021-03-03,61900,
1270,2020-10-26,160100,
1271,2021-01-21,63100,
1272,2020-12-14,161000,
1273,2020-11-07,137200,
1274,2020-10-07,40400,
1275,2020-09-08,180600,
1276,2021-02-10,130600,
1277,2020-11-05,112000,
1278,2020-07-24,127900,
1279,2021-04-18,104500,
1280,2021-01-06,88100,
1281,2020-12-22,155000,
1282,2021-01-08,151400,
1283,2021-02-01,87700,
1284,2021-01-02,18300,
1285,2020-11-25,26900,
1286,2020-10-01,77900,
1287,2021-03-06,143400,
1288,2020-08-25,81000,
1289,2021-01-11,59400,
1290,2021-02-20,70800,
1291,2021-02-26,88000,
1292,2021-03-25,107000,
1293,2020-08-21,23000,
1294,2020-11-15,174800,
1295,2020-10-23,180200,
1296,2021-03-08,144700,
1297,2020-07-01,65100,
1298,2020-12-11,183600,
1299,2021-03-09,90200,
1300,2020-08-21,127000,
1301,2020-09-01,95700,
1302,2021-01-02,59500,
1303,2020-09-11,77200,
1304,2020-06-30,23300,
1305,2020-09-21,131900,
1306,2021-01-21,106300,
1307,2020-10-09,113000,
1308,2020-09-06,41700,
1309,2020-11-28,86500,
1310,2020-12-30,87400,
1311,2021-01-14,164700,
1312,2020-12-22,163400,
1313,2021-01-24,177100,
1314,2021-01-01,199800,
1315,2020-07-08,79000,
1316,2020-12-15,87400,
1317,2021-03-05,169900,
1318,2020-07-31,146300,
1319,2021-02-11,158200,
1320,2021-03-05,109300,
1321,2020-07-11,45900,
1322,2020-09-02,47300,
1323,2021-04-09,96600,
1324,2020-10-18,132900,
1325,2020-10-02,102200,
1326,2021-04-15,147500,
1327,2020-11-28,98900,
1328,2021-03-24,172400,
1329,2020-11-20,89600,
1330,2021-03-22,75600,
1331,2020-11-29,77300,
1332,2020-08-21,47600,
1333,2021-02-04,195700,
1334,2021-01-27,57200,
1335,2020-11-26,142400,
1336,2020-11-10,177200,
1337,2020-07-30,132200,
1338,2020-07-15,29700,
1339,2020-11-18,31800,
1340,2020-08-14,58600,
1341,2020-09-26,18700,
1342,2020-11-08,139400,
1343,2020-10-22,92900,
1344,2021-04-09,31700,
1345,2020-11-24,192300,
1346,2020-11-09,135200,
1347,2020-10-22,38800,
1348,2020-10-27,95100,
1349,2021-04-13,25800,
1350,2021-04-08,78900,
1351,2020-08-06,79700,
1352,2020-10-01,102700,
1353,2020-09-26,61600,
1354,2020-12-26,114100,
1355,2020-08-23,14900,
1356,2020-12-21,16000,
1357,2020-09-03,167300,
1358,2021-03-29,128500,
1359,2020-07-19,118900,
1360,2021-01-20,45500,
1361,2021-04-12,42300,
1362,2020-11-08,18900,
1363,2021-04-19,109600,
1364,2021-01-02,158700,
1365,2021-01-12,122300,
1366,2021-03-29,41000,
1367,2021-01-18,158300,
1368,2021-01-17,132900,
1369,2020-10-02,196800,
1370,2020-08-30,176000,
1371,2020-08-26,170600,
1372,2020-12-18,148100,
1373,2020-09-14,37600,
1374,2021-04-08,62200,
1375,2020-09-17,195500,
1376,2021-02-13,164500,
1377,2020-10-15,153200,
1378,2021-03-09,127500,
1379,2020-12-26,178900,
1380,2020-12-11,149700,
1381,2021-01-16,133800,
1382,2020-08-06,91800,
1383,2021-02-24,187400,
1384,2020-10-16,156900,
1385,2020-10-17,82000,
1386,2021-04-08,36300,
1387,2021-03-19,137100,
1388,2020-11-01,181200,
1389,2020-07-01,126600,
1390,2020-11-29,20900,
1391,2021-02-10,174400,
1392,2020-12-15,117800,
1393,2020-12-21,177300,
1394,2020-10-08,55100,
1395,2020-11-13,117500,
1396,2020-12-09,117500,
1397,2021-03-07,133700,
1398,2020-10-02,120000,
1399,2020-10-05,59900,
1400,2020-08-11,39400,
1401,2020-09-25,86000,
1402,2020-07-23,98000,
1403,2021-01-23,117200,
1404,2020-09-10,25700,
1405,2020-08-19,99000,
1406,2021-01-23,195800,
1407,2021-03-20,36200,
1408,2020-09-14,99300,
1409,2020-08-02,107400,
1410,2021-03-10,69600,
1411,2020-11-09,11100,
1412,2020-10-31,114800,
1413,2021-02-07,151600,
1414,2021-02-14,142300,
1415,2020-08-10,70700,
1416,2020-07-12,18800,
1417,2020-10-17,149700,
1418,2020-07-05,133000,
1419,2021-02-09,108900,
1420,2020-08-22,72400,
1421,2021-01-08,44300,
1422,2020-10-20,67400,
1423,2021-01-11,87400,
1424,2020-07-21,43900,
1425,2020-08-10,197700,
1426,2020-09-25,32700,
1427,2021-02-10,49600,
1428,2020-12-27,55200,
1429,2020-07-23,146400,
1430,2020-08-08,173700,
1431,2020-12-12,136600,
1432,2020-08-07,151200,
1433,2020-12-17,65900,
1434,2020-12-11,39800,
1435,2021-01-23,17300,
1436,2020-09-24,143800,
1437,2021-02-20,118100,
1438,2020-09-23,82900,
1439,2020-08-24,101100,
1440,2021-03-11,160000,
1441,2020-07-24,79200,
1442,2020-09-21,51100,
1443,2020-12-13,166000,
1444,2020-07-10,113800,
1445,2020-12-25,162900,
1446,2021-02-12,112700,
1447,2020-12-15,119500,
1448,2020-09-07,186200,
1449,2020-11-01,24100,
1450,2020-09-20,51500,
1451,2020-07-07,153100,
1452,2020-12-17,82600,
1453,2020-07-01,58200,
1454,2020-09-21,116900,
1455,2021-04-13,153300,
1456,2020-07-21,62400,
1457,2020-12-29,132500,
1458,2020-07-26,162600,
1459,2020-10-30,66900,
1460,2020-10-23,180300,
1461,2020-07-11,63800,
1462,2020-11-29,25800,
1463,2021-03-30,83100,
1464,2020-09-12,105800,
1465,2020-06-29,136600,
1466,2020-08-05,166500,
1467,2020-06-27,168600,
1468,2020-08-17,29800,
1469,2020-12-29,183600,
1470,2020-12-18,52800,
1471,2020-11-06,123500,
1472,2020-11-09,127200,
1473,2020-12-01,17900,
1474,2020-08-08,185800,
1475,2020-09-26,128800,
1476,2020-12-20,33500,
1477,2020-10-12,124700,
1478,2020-10-16,94100,
1479,2020-11-11,150700,
1480,2020-09-06,132400,
1481,2020-09-19,175900,
1482,2020-12-08,152800,
1483,2021-03-20,80000,
1484,2020-07-10,68200,
1485,2020-08-15,125300,
1486,2021-03-09,20200,
1487,2020-12-15,186100,
1488,2021-02-05,62400,
1489,2021-01-28,114600,
1490,2020-08-11,48600,
1491,2021-02-11,69100,
1492,2020-11-17,174800,
1493,2020-12-01,105200,
1494,2020-12-05,76300,
1495,2020-12-10,81700,
1496,2020-09-01,160800,
1497,2020-10-18,181700,
1498,2020-11-29,106600,
1499,2020-09-14,87700,
1500,2020-10-07,191700,
1501,2021-04-12,194100,
1502,2020-07-30,26900,
1503,2021-03-16,161000,
1504,2020-06-25,54000,
1505,2020-08-25,62300,
1506,2021-02-12,152000,
1507,2020-09-14,43700,
1508,2021-02-18,87000,
1509,2021-01-23,26000,
1510,2020-07-27,73100,
1511,2020-11-02,81300,
1512,2021-03-31,118000,
1513,2020-10-11,36700,
1514,2021-04-17,179200,
1515,2021-01-03,128900,
1516,2020-11-22,141700,
1517,2020-07-28,60600,
1518,2021-01-28,116200,
1519,2020-12-22,146200,
1520,2020-08-08,78600,
1521,2021-02-06,111900,
1522,2021-01-06,136000,
1523,2020-08-26,188000,
1524,2020-09-13,194400,
1525,2020-12-26,44600,
1526,2021-02-20,167600,
1527,2020-11-25,90100,
1528,2021-02-06,105100,
1529,2020-11-24,22300,
1530,2020-07-28,45400,
1531,2020-12-01,192100,
1532,2021-01-06,22600,
1533,2020-09-29,76500,
1534,2020-10-01,121500,
1535,2020-07-22,66200,
1536,2020-11-05,131900,
1537,2020-10-20,112000,
1538,2020-11-04,33300,
1539,2020-07-12,147000,
1540,2020-09-19,64600,
1541,2021-03-30,18100,
1542,2020-09-01,173000,
1543,2020-10-11,60900,
1544,2020-11-26,125400,
1545,2020-12-17,32700,
1546,2021-03-30,157900,
1547,2020-07-23,20500,
1548,2021-04-05,187600,
1549,2021-03-27,141700,
1550,2021-01-01,135700,
1551,2021-02-09,92600,
1552,2020-08-23,77400,
1553,2021-01-20,20800,
1554,2021-04-08,73000,
1555,2020-08-12,38200,
1556,2020-11-19,25400,
1557,2021-01-11,42800,
1558,2020-08-30,156500,
1559,2021-01-29,151000,
1560,2021-04-01,91700,
1561,2021-02-21,95000,
1562,2021-01-13,87500,
1563,2020-08-29,140900,
1564,2020-08-19,136200,
1565,2021-04-08,197700,
1566,2021-03-22,34300,
1567,2020-10-31,145800,
1568,2020-09-29,124300,
1569,2020-11-16,72200,
1570,2020-12-26,123200,
1571,2020-09-17,50400,
1572,2021-01-09,113900,
1573,2021-04-10,33100,
1574,2020-10-05,45100,
1575,2021-01-03,191800,
1576,2020-10-18,164600,
1577,2020-07-24,63900,
1578,2020-08-05,13000,
1579,2020-07-10,87500,
1580,2020-07-16,181600,
1581,2021-02-22,126500,
1582,2020-07-04,127100,
1583,2021-03-04,192200,
1584,2020-11-17,128500,
1585,2020-12-08,188700,
1586,2021-02-28,162900,
1587,2020-11-28,68900,
1588,2020-12-14,14800,
1589,2021-03-25,177400,
1590,2020-12-29,68800,
1591,2021-01-31,166300,
1592,2020-08-19,118600,
1593,2021-04-09,143200,
1594,2020-11-27,124800,
1595,2020-08-18,119700,
1596,2020-10-22,102700,
1597,2020-08-25,80800,
1598,2020-10-01,12600,
1599,2021-03-25,141400,
1600,2020-10-29,186100,
1601,2021-04-05,117700,
1602,2020-08-06,198700,
1603,2021-02-20,103000,
1604,2020-06-28,102500,
1605,2020-12-29,16100,
1606,2020-08-03,93300,
1607,2021-01-13,41400,
1608,2020-09-22,156900,
1609,2020-12-12,55200,
1610,2021-03-09,19400,
1611,2021-03-30,136300,
1612,2020-11-04,20100,
1613,2020-07-22,52500,
1614,2021-03-24,179200,
1615,2021-01-01,148600,
1616,2021-03-31,141200,
1617,2021-04-15,114300,
1618,2020-11-01,138500,
1619,2020-12-19,49800,
1620,2020-07-15,79400,
1621,2020-09-21,65200,
1622,2021-03-24,80600,
1623,2020-07-07,67800,
1624,2020-10-27,95500,
1625,2020-10-16,62100,
1626,2021-01-05,80500,
1627,2020-08-28,151200,
1628,2020-10-24,51600,
1629,2021-04-18,74200,
1630,2020-07-06,192600,
1631,2020-08-18,199100,
1632,2020-10-12,81200,
1633,2020-12-27,97900,
1634,2021-02-09,86100,
1635,2020-07-08,78900,
1636,2021-04-19,131600,
1637,2021-03-15,56600,
1638,2020-12-14,37400,
1639,2020-07-25,97600,
1640,2021-02-08,118000,
1641,2020-07-05,40400,
1642,2020-11-01,167100,
1643,2021-03-05,33400,
1644,2020-12-26,131200,
1645,2021-03-10,80100,
1646,2021-01-09,180600,
1647,2020-07-16,20400,
1648,2020-09-15,193000,
1649,2020-07-21,95900,
1650,2020-07-25,108200,
1651,2020-11-02,154000,
1652,2021-01-12,71400,
1653,2020-06-29,45400,
1654,2021-02-03,191400,
1655,2020-10-11,45500,
1656,2020-08-15,21500,
1657,2021-04-08,36400,
1658,2021-03-12,94800,
1659,2020-07-25,79900,
1660,2021-03-04,63400,
1661,2021-02-10,197600,
1662,2021-03-01,188000,
1663,2021-01-18,68000,
1664,2020-07-16,122700,
1665,2021-03-02,48200,
1666,2021-01-07,18900,
1667,2020-12-03,37200,
1668,2021-01-10,40200,
1669,2021-04-16,172600,
1670,2020-07-16,179100,
1671,2020-08-24,15700,
1672,2020-07-02,113000,
1673,2020-09-24,157600,
1674,2021-04-05,127300,
1675,2020-10-29,112400,
1676,2020-10-25,92700,
1677,2020-08-21,148500,
1678,2020-11-27,35400,
1679,2020-11-29,118000,
1680,2020-07-29,60000,
1681,2020-08-04,198600,
1682,2020-10-03,74600,
1683,2021-03-04,94800,
1684,2020-06-26,59300,
1685,2020-11-07,190700,
1686,2020-06-30,53800,
1687,2021-02-27,56600,
1688,2021-02-04,146800,
1689,2021-01-22,130500,
1690,2020-08-23,24900,
1691,2021-01-21,129400,
1692,2021-03-13,112800,
1693,2020-06-26,20900,
1694,2020-10-15,22400,
1695,2020-12-16,193100,
1696,2021-03-06,104800,
1697,2020-12-07,166400,
1698,2021-01-12,54900,
1699,2020-11-13,154800,
1700,2020-11-29,182800,
1701,2021-02-02,162200,
1702,2021-03-10,194800,
1703,2020-09-28,168000,
1704,2020-09-20,198300,
1705,2021-04-13,110900,
1706,2020-10-30,85100,
1707,2021-04-05,36100,
1708,2021-03-04,106400,
1709,2021-02-15,175000,
1710,2020-10-14,197100,
1711,2020-09-27,111100,
1712,2020-10-30,76200,
1713,2021-01-03,66600,
1714,2020-09-01,91100,
1715,2021-01-01,49400,
1716,2021-01-27,72500,
1717,2020-11-22,176700,
1718,2020-08-02,105400,
1719,2020-11-17,145900,
1720,2021-02-23,108200,
1721,2020-12-16,50900,
1722,2020-07-11,153700,
1723,2020-07-06,197600,
1724,2020-12-13,79100,
1725,2020-09-09,34000,
1726,2020-12-09,16200,
1727,2020-10-03,131600,
1728,2020-09-26,138900,
1729,2020-11-17,172200,
1730,2020-08-16,52200,
1731,2020-12-16,150200,
1732,2020-10-03,75700,
1733,2020-12-22,122100,
1734,2021-03-31,84600,
1735,2021-02-24,111800,
1736,2021-04-19,103100,
1737,2021-01-31,161100,
1738,2020-12-22,174100,
1739,2020-12-05,153000,
1740,2020-09-25,192200,
1741,2020-10-14,36400,
1742,2020-11-04,98700,
1743,2020-09-12,34600,
1744,2020-09-22,74200,
1745,2020-07-07,55400,
1746,2020-09-15,144200,
1747,2020-08-19,157400,
1748,2021-01-22,159400,
1749,2020-10-04,185100,
1750,2021-04-18,54900,
1751,2020-12-07,48900,
1752,2021-01-17,159700,
1753,2020-10-24,95800,
1754,2020-11-10,117500,
1755,2020-07-21,67200,
1756,2021-01-01,86200,
1757,2020-10-04,81900,
1758,2020-08-31,174000,
1759,2021-02-25,48300,
1760,2021-02-15,112900,
1761,2021-03-30,61500,
1762,2020-11-22,103500,
1763,2020-10-05,75500,
1764,2021-01-24,64700,
1765,2020-08-04,31600,
1766,2020-10-05,64300,
1767,2020-09-04,48200,
1768,2020-07-23,107700,
1769,2020-12-25,24600,
1770,2020-09-11,119100,
1771,2021-03-22,32100,
1772,2021-01-22,53200,
1773,2021-01-10,117200,
1774,2021-04-17,117700,
1775,2020-10-05,137100,
1776,2020-08-07,121500,
1777,2020-08-06,26100,
1778,2020-08-09,128700,
1779,2020-06-26,158300,
1780,2020-12-26,16200,
1781,2021-02-22,189000,
1782,2020-12-21,165900,
1783,2021-03-31,131500,
1784,2020-10-30,142800,
1785,2021-01-17,73100,
1786,2021-02-15,111900,
1787,2020-10-15,117100,
1788,2021-01-04,137600,
1789,2020-10-02,148200,
1790,2020-07-26,167800,
1791,2020-09-09,161100,
1792,2020-07-12,110600,
1793,2020-12-24,129600,
1794,2020-11-11,55400,
1795,2020-09-05,115900,
1796,2021-02-25,75200,
1797,2020-08-28,16200,
1798,2021-03-29,27900,
1799,2020-08-24,16400,
1800,2020-11-05,59800,
1801,2020-07-15,26300,
1802,2020-12-23,76400,
1803,2020-12-22,44500,
1804,2020-09-22,89100,
1805,2020-07-27,196600,
1806,2020-07-24,17700,
1807,2021-03-28,26200,
1808,2020-09-14,26700,
1809,2021-04-01,96800,
1810,2021-04-17,100500,
1811,2020-09-27,35500,
1812,2021-02-10,111800,
1813,2020-12-25,142100,
1814,2020-08-15,95900,
1815,2021-02-08,120800,
1816,2021-03-16,97000,
1817,2021-03-30,172000,
1818,2020-11-03,135800,
1819,2020-07-11,21200,
1820,2020-11-06,114200,
1821,2020-10-09,49000,
1822,2020-08-06,80500,
1823,2020-10-15,181100,
1824,2021-02-04,46400,
1825,2021-02-01,189800,
1826,2020-07-13,101400,
1827,2020-09-11,43000,
1828,2020-07-17,77100,
1829,2020-11-01,65700,
1830,2020-11-29,126000,
1831,2021-03-09,92900,
1832,2020-08-27,155300,
1833,2020-10-29,16100,
1834,2020-06-28,57100,
1835,2020-07-09,62900,
1836,2021-04-07,14800,
1837,2021-03-17,136800,
1838,2020-12-07,25600,
1839,2021-03-19,176300,
1840,2021-01-20,189400,
1841,2021-03-15,10800,
1842,2021-03-05,173400,
1843,2020-08-29,34500,
1844,2020-11-25,156200,
1845,2020-07-27,142000,
1846,2020-09-09,44500,
1847,2020-08-08,171100,
1848,2020-10-10,68900,
1849,2020-12-07,43100,
1850,2020-10-31,10400,
1851,2020-11-11,193400,
1852,2020-12-24,191900,
1853,2020-07-20,61800,
1854,2021-01-25,122200,
1855,2021-03-26,61700,
1856,2021-03-06,34500,
1857,2020-07-23,37000,
1858,2021-02-08,69900,
1859,2020-07-25,64800,
1860,2020-07-26,115400,
1861,2021-01-06,41700,
1862,2020-07-27,165200,
1863,2020-09-06,103700,
1864,2020-12-15,115800,
1865,2021-03-30,66500,
1866,2021-03-14,185300,
1867,2020-12-05,157800,
1868,2021-01-27,66900,
1869,2020-08-03,94400,
1870,2020-08-14,11000,
1871,2020-10-22,56500,
1872,2020-08-09,185400,
1873,2020-09-26,200000,
1874,2020-10-20,182500,
1875,2020-12-24,119200,
1876,2021-01-08,35200,
1877,2020-12-21,20400,
1878,2020-07-13,27500,
1879,2021-04-03,75000,
1880,2020-08-26,135700,
1881,2021-01-21,55200,
1882,2021-04-15,88700,
1883,2020-07-11,189200,
1884,2020-07-19,60700,
1885,2021-01-19,122800,
1886,2021-01-26,110500,
1887,2020-07-03,60900,
1888,2020-09-12,114600,
1889,2021-01-18,196300,
1890,2020-08-20,193700,
1891,2021-03-08,110700,
1892,2021-04-04,198200,
1893,2020-11-24,122300,
1894,2020-07-19,159300,
1895,2020-12-17,141700,
1896,2020-11-22,157800,
1897,2021-02-01,139900,
1898,2020-08-31,78700,
1899,2020-10-08,10200,
1900,2021-01-14,28300,
1901,2020-09-21,14900,
1902,2020-12-10,143900,
1903,2021-01-17,113700,
1904,2020-12-18,126200,
1905,2021-04-14,156900,
1906,2020-12-10,80000,
1907,2020-11-20,182000,
1908,2020-12-09,154400,
1909,2020-12-19,160900,
1910,2020-08-04,105400,
1911,2020-12-04,110900,
1912,2020-06-24,28000,
1913,2020-09-17,161200,
1914,2021-01-08,82600,
1915,2020-11-27,159600,
1916,2020-12-20,84000,
1917,2020-12-07,183300,
1918,2020-07-14,106200,
1919,2021-01-05,188600,
1920,2020-08-21,75800,
1921,2020-09-19,93200,
1922,2021-01-04,135900,
1923,2021-01-20,192400,
1924,2021-02-03,177300,
1925,2020-09-27,142500,
1926,2020-08-27,105000,
1927,2021-03-23,89200,
1928,2020-12-09,108800,
1929,2021-04-05,85600,
1930,2020-12-29,187300,
1931,2021-01-30,169900,
1932,2020-12-21,83700,
1933,2020-08-01,136200,
1934,2020-07-21,68000,
1935,2021-03-06,55000,
1936,2020-07-06,158500,
1937,2020-07-17,164000,
1938,2021-02-10,89700,
1939,2020-10-24,169900,
1940,2021-02-19,168700,
1941,2020-11-29,176700,
1942,2020-06-25,118500,
1943,2021-03-14,136100,
1944,2020-09-22,11800,
1945,2020-10-06,84500,
1946,2020-06-24,79400,
1947,2020-06-29,175900,
1948,2020-06-27,89100,
1949,2020-11-02,84600,
1950,2020-07-25,111400,
1951,2021-01-06,32900,
1952,2021-03-05,111100,
1953,2021-01-17,129900,
1954,2020-08-16,141200,
1955,2020-09-11,108900,
1956,2021-03-08,96600,
1957,2020-12-14,129600,
1958,2021-04-19,22400,
1959,2021-02-24,149500,
1960,2020-11-16,60100,
1961,2020-08-24,74300,
1962,2020-12-18,125800,
1963,2021-03-15,92400,
1964,2020-11-29,29300,
1965,2021-03-16,114200,
1966,2020-10-08,90900,
1967,2020-11-19,17600,
1968,2021-01-24,70500,
1969,2021-01-10,67800,
1970,2021-01-16,23900,
1971,2020-11-05,198500,
1972,2021-02-04,21200,
1973,2020-10-05,163500,
1974,2020-06-26,188900,
1975,2020-09-20,139500,
1976,2020-11-16,102500,
1977,2020-09-18,58300,
1978,2020-08-23,177800,
1979,2020-10-23,31000,
1980,2021-03-21,187400,
1981,2020-08-17,137800,
1982,2020-06-26,112600,
1983,2020-07-30,79400,
1984,2020-09-28,54300,
1985,2021-01-27,105100,
1986,2021-02-07,119700,
1987,2020-09-09,18600,
1988,2021-03-15,138800,
1989,2020-12-21,116400,
1990,2020-07-29,187200,
1991,2020-08-26,131700,
1992,2020-11-27,92700,
1993,2020-12-22,110400,
1994,2021-03-24,175500,
1995,2021-02-03,143600,
1996,2021-04-14,69100,
1997,2020-12-24,137300,
1998,2020-08-24,85600,
1999,2020-09-29,168200,
2000,2021-01-23,156800,
2001,2020-12-20,32600,
2002,2020-08-11,87900,
2003,2020-09-21,10700,
2004,2020-08-23,15000,
2005,2020-10-30,24300,
2006,2020-11-09,81500,
2007,2021-01-30,124500,
